CODIGO,Tipo de Equipo,Marca,Modelo,Peso Operacional (kg),Potencia (hp),Capacidad,Profundidad Máx.,Cabina,cantidad
MAQFA2001,EXCAVADORA,Komatsu,PC200 / PC210LC,21.700 - 22.300,138 / 165,Balde: 1.0 - 1.2 m³,6.620 mm,ROPS / FOPS,1
MAQFA2002,EXCAVADORA,John Deere,210G LC,"22,910",159,Balde: 1.2 m³,6.680 mm,ROPS / FOPS,1
MAQFA2003,EXCAVADORA,Caterpillar,330-07,"30,305",211,Balde: 2.15 m³,5.790 mm,ROPS / FOPS,1
MAQFA2004,EXCAVADORA,Caterpillar,333,"32,600",193,Balde: 2.0 m³,7.360 mm,ROPS / FOPS,1
MAQFA2005,EXCAVADORA,John Deere,350,"34,726",271,Balde: 2.52 m³,6.22 mm,ROPS / FOPS,1
MAQFA2006,EXCAVADORA,Komatsu,PC300LC-8,"35,902",246,Balde: 2.0 m³,6.400 mm,ROPS / FOPS,1
MAQFA2007,EXCAVADORA,Komatsu,PC360LC-11E0,"36,280",257,Balde: 2.21 m³,6.705 mm,ROPS / OPG Nivel 1,1
MAQFA2008,EXCAVADORA,Komatsu,PC450LC-8,"44,600",345,Balde: 2.87 m³,6.845 mm,ROPS / FOPS,1
MAQFA2009,EXCAVADORA,Caterpillar,350,"47,600",414,Balde: 3.2 m³,7.690 mm,ROPS,1
MAQFA2010,EXCAVADORA,Komatsu,PC490LC,"47,370",359,Balde: 2.8 m³,6.670 mm,ROPS / OPG I,1
MAQFA2011,EXCAVADORA,Sany,SY980H,"95,000",770,Balde: 6.5 m³,70.62 mm,ROPS/FOPS,1
MAQFA2012,CARGADOR FRONTAL,Komatsu,WA380-6,"17,600",191,Balde: 3.1 m³,N/A,ROPS / FOPS,1
MAQFA2013,CARGADOR FRONTAL,Caterpillar,950GC,"18,676",202,Balde: 3.1 m³,N/A,ROPS / FOPS,1
MAQFA2014,CARGADOR FRONTAL,Caterpillar,962L,"19,123",252,Balde: 3.4 m³,N/A,ROPS / FOPS,1
MAQFA2015,CARGADOR FRONTAL,Komatsu,WA430-6,"18,676",231,Balde: 3.4 m³,N/A,ROPS / FOPS,1
MAQFA2016,CARGADOR FRONTAL,Caterpillar,966L,"23,220",281,Balde: 4.0 m³,N/A,ROPS / FOPS,1
MAQFA2017,CARGADOR FRONTAL,John Deere,744L,"25,894",316,Balde: 4.0 m³,N/A,ROPS / FOPS,1
MAQFA2018,CARGADOR FRONTAL,Caterpillar,980,"30,344",393,Balde: 5.4 m³,N/A,ROPS / FOPS,1
MAQFA2019,MOTONIVELADORA,John Deere,770G,"19,090",185 - 250 (VHP),Hoja: 4.30 mts.,N/A,ROPS / FOPS,1
MAQFA2020,MOTONIVELADORA,Caterpillar,150,"19,935",200 - 252 (VHP),Hoja: 3.70 mts.,N/A,ROPS / FOPS,1
MAQFA2021,TRACTOR DE CADENA,Komatsu,D65EX,"19,510",205,Pala: 3.89 m³,N/A,ROPS,1
MAQFA2022,TRACTOR DE CADENA,Caterpillar,D6T / D6,19.429 / 21.825,223 / 212,Pala: 3.75 - 4.1 m³,N/A,ROPS / FOPS,1
MAQFA2023,TRACTOR DE CADENA,Caterpillar,D8 / D8T,"38,351",361,Pala: 10.3 m³,N/A,ROPS / FOPS,1
MAQFA2024,TRACTOR DE CADENA,Komatsu,D155AX,"41,700",354,Pala: 9.4 m³,N/A,ROPS,1
MAQFA2025,TRACTOR DE CADENA,Komatsu,D275AX,"49,850",449,Pala: 13.7 m³,N/A,ROPS,1
MAQFA2026,TRACTOR DE CADENA,Komatsu,D375A-8R,"76,520",609,Pala: 18.5 m³,N/A,ROPS,1
MAQFA2027,TRACTOR DE CADENA,Caterpillar,D9,"49,988",487,Pala: 16.6 m³,N/A,ROPS / FOPS,1
MAQFA2028,RETROEXCAVADORA,Caterpillar,420,"11,000",101,Balde: 1.1 m³,4.390 mts,Palanca,1
MAQFA2029,RETROEXCAVADORA,John Deere,310L,"8,200",91,Balde: 0.96 m³,4.30 mts,Joystick,1
MAQFA2030,RETROEXCAVADORA,Caterpillar,416F2,"11,000",87,Balde: 0.96 m³,4.348 mts,Palanca,1
MAQFA2031,RODILLO COMPACTADOR,Caterpillar,CS54B,"10,550",131.32,Ancho Tambor: 2.13 mts.,N/A,N/A,1
MAQFA2032,RODILLO COMPACTADOR,Hamm,HC110,"11,765",135.4,Ancho Tambor: 2.14 mts.,N/A,N/A,1
MAQFA2033,RODILLO COMPACTADOR,Hamm,3412,"12,200","131,722",Ancho Tambor: 2.14 mts.,N/A,N/A,1
MAQFA2034,RODILLO COMPACTADOR,Hamm,HC200,"19,240",201.2,Ancho Tambor: 2.14 mts.,N/A,N/A,1
MAQFA2035,MINICARGADOR,Caterpillar,242D,"3,166",72.1 (Neta),Balde: 0.44 m³ / Carga: 975 Kg,N/A,ROPS / FOPS,1
MAQFA2036,MANIPULADOR TELESCÓPICO,JCB,533-105,N/A,109,Carga: 3.3 Ton,Levante: 9.85m,FOPS/ROPS,1
MAQFA2037,MANIPULADOR TELESCÓPICO,Dieci,Zeus 33.11,N/A,125,Carga: 3.3 Ton,Levante: 10.60m,"(A/A, Calefacción)",1
MAQFA2038,MANIPULADOR TELESCÓPICO,Dieci,Icarus 40.14,N/A,125,Carga: 4.0 Ton,Levante: 13.10m,"A/A, Calefacción",1
MAQFA2039,MANIPULADOR TELESCÓPICO,Dieci,Icarus 40.17,N/A,125,Carga: 4.0 Ton,Levante: 16.6m,"(A/A, Calefacción)",1
MAQFA2040,MANIPULADOR TELESCÓPICO GIRATORIO,Dieci,Pegasus 38.16,N/A,98,Carga: 3.8 Ton,Levante: 15.70m,"(A/A, Calefacción), Rotación 400°",1
MAQFA2041,MANIPULADOR TELESCÓPICO,Manitou,MT1033,N/A,101,Carga: 3300 kg,10 mts.,N/A,1
MAQFA2042,GRÚA HORQUILLA,Hyundai,80D-7E,N/A,N/A,Carga: 8 Ton,Levante: 3.5 mts.,N/A,1
MAQFA2043,GRÚA HORQUILLA,Hyundai,110D-7E,N/A,N/A,Carga: 11 Ton,Levante: 3.3 mts.,N/A,1
MAQFA2044,GRÚA HORQUILLA,Konecranes,F16-600C,N/A,N/A,Carga: 16 Ton,Levante: 4 mts.,N/A,1
MAQFA2045,GRÚA HORQUILLA,Hyundai,160D-9,N/A,N/A,Carga: 16 Ton,Levante: 3 mts.,N/A,1
MAQFA2046,GRÚA HORQUILLA,Konecranes,SMV25-1200,N/A,N/A,Carga: 25 Ton,Levante: 4 mts.,N/A,1
MAQFA2047,GRÚA HORQUILLA,Hyundai,250D-9,N/A,N/A,Carga: 25 Ton,Levante: 4 mts.,N/A,1